date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:27:43	15562/15562	---M--	200	added ('OK')	image/png	etag:%225f64732b-3cca%22	https://technext.github.io/covid/images/symptom_sore-troath.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/symptom_sore-troath.png	(from https://technext.github.io/covid/)
05:27:44	17181/17181	---M--	200	added ('OK')	image/png	etag:%225f64732b-431d%22	https://technext.github.io/covid/images/symptom_headache.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/symptom_headache.png	(from https://technext.github.io/covid/)
05:27:45	86926/86926	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-1538e%22	https://technext.github.io/covid/js/jquery-3.3.1.min.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/jquery-3.3.1.min.js	(from https://technext.github.io/covid/)
05:27:45	45799/45799	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-b2e7%22	https://technext.github.io/covid/js/jquery-ui.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/jquery-ui.js	(from https://technext.github.io/covid/)
05:27:46	727608/727608	---M--	200	added ('OK')	image/jpeg	etag:%225f64732b-b1a38%22	https://technext.github.io/covid/images/hero_2.jpg	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/hero_2.jpg	(from https://technext.github.io/covid/)
05:27:46	20336/20336	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-4f70%22	https://technext.github.io/covid/js/popper.min.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/popper.min.js	(from https://technext.github.io/covid/)
05:27:46	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-e2d8%22	https://technext.github.io/covid/js/bootstrap.min.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/bootstrap.min.js	(from https://technext.github.io/covid/)
05:27:47	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-a70e%22	https://technext.github.io/covid/js/owl.carousel.min.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/owl.carousel.min.js	(from https://technext.github.io/covid/)
05:27:48	5339/5339	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-14db%22	https://technext.github.io/covid/js/jquery.countdown.min.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/jquery.countdown.min.js	(from https://technext.github.io/covid/)
05:27:48	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-1faf%22	https://technext.github.io/covid/js/jquery.easing.1.3.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/jquery.easing.1.3.js	(from https://technext.github.io/covid/)
05:27:48	14244/14244	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-37a4%22	https://technext.github.io/covid/js/aos.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/aos.js	(from https://technext.github.io/covid/)
05:27:49	68196/68196	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-10a64%22	https://technext.github.io/covid/js/jquery.fancybox.min.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/jquery.fancybox.min.js	(from https://technext.github.io/covid/)
05:27:49	10084/10084	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-2764%22	https://technext.github.io/covid/js/jquery.sticky.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/jquery.sticky.js	(from https://technext.github.io/covid/)
05:27:50	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-8a75%22	https://technext.github.io/covid/js/isotope.pkgd.min.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/isotope.pkgd.min.js	(from https://technext.github.io/covid/)
05:27:50	8047/8047	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f64732b-1f6f%22	https://technext.github.io/covid/js/main.js	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/js/main.js	(from https://technext.github.io/covid/)
05:27:51	307332/307332	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f64732b-4b084%22	https://technext.github.io/covid/fonts/icomoon/fonts/icomoon.eot?10si43	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/icomoon/fonts/icomoon1a44.eot	(from https://technext.github.io/covid/fonts/icomoon/style.css)
